568,11,Flop,Average,Hit,SuperHit,BlockBuster,,,,,
588,103215094,395087,21668,1101,18000000,7.8,114000,7.4,4657,21529,3
163,2450846,32382,12897,99,5000000,7,13000,6.6,359,11703,1
198,66980456,86251,36064,260,25000000,6.5,58000,6.4,1859,33176,2
434,362637473,200022,32355,1240,125000000,5.8,71000,5.5,2408,29000,3
384,652105443,279093,2963,433,165000000,7.9,41000,7.8,6289,2075,4
459,288747895,341058,22226,713,85000000,6.7,49000,6.9,4784,20168,3
219,108255770,40883,3151,122,60000000,6.8,11000,6.6,689,2191,3
535,13092000,399138,26495,731,3300000,8.5,129000,8.3,4376,25646,3
435,469160692,246698,22128,471,60000000,7.8,64000,7.5,3127,21097,3
271,255273813,81699,2323,291,6500000,5.4,45000,5.5,1588,1761,3
433,126546825,327367,32325,918,40000000,6.4,83000,6.3,6048,30903,2
175,114178613,54501,17098,154,95000000,5.5,16000,5.2,980,15810,1
211,52597999,69355,1286,211,28000000,6.2,10000,6,896,1609,2
173,123494610,87165,49743,184,40000000,6.5,12000,6.6,1028,46887,3
320,206172544,127258,52610,351,90000000,6.1,56000,6.1,1830,50385,2
183,15520023,53341,1795,185,22500000,7.1,18000,6.8,439,1225,1
533,14674076,112899,1062,631,2000000,6.9,45000,6.6,1894,1083,2
406,211817906,303185,20411,701,68000000,7.6,82000,7.4,4028,20149,3
292,192330738,229574,37605,436,55000000,7.2,56000,7.1,2997,36528,3
183,103590271,31915,5056,159,5000000,4.4,18000,4.9,1006,2273,2
322,163442937,103589,2938,351,65000000,7.2,35000,7.3,1437,12932,3
270,62882090,44329,1565,309,1000000,5.7,13000,5.5,1092,1160,2
203,61619773,33856,17866,147,11000000,7.3,34000,7.3,454,17255,3
349,201634991,119928,2702,331,28000000,7.9,76000,7.7,1381,1762,3
117,63013281,50041,3386,116,34000000,7.1,23000,7.3,1083,3001,2
253,243637091,89770,35367,342,88000000,5.6,39000,5.6,2564,34000,3
289,93820758,71782,28328,161,100000000,7,27000,6.5,1300,29482,2
556,532950503,406020,57108,1188,135000000,8.1,190000,7.3,6558,56733,3
362,571006128,220020,4585,1360,40000000,4.1,101000,5.2,3350,3107,2
249,311256926,138246,2517,360,61000000,6.4,24000,6.5,3148,2235,3
165,368871007,70136,17883,214,135000000,6.7,26000,6.8,1539,17718,3
437,173567581,146708,15106,362,37000000,7.7,70000,7.3,1963,14128,3
308,1156730962,142403,13616,275,74000000,6.4,70000,6.4,4729,12022,3
739,378858340,552503,40025,1588,150000000,8.1,191000,7.3,9629,37693,4
596,155760117,272839,49912,1018,44000000,7.9,114000,7.6,4405,64000,3
517,519311965,313866,5730,549,130000000,7.4,61000,7,6029,4915,3
279,153962963,149337,11943,221,50100000,6.6,23000,6.7,2588,11372,3
443,209154322,128306,5046,497,190000000,6.5,37000,6.2,2904,3905,2
315,101134059,75329,75793,256,60000000,6.6,24000,6.4,1619,70737,2
260,42972994,87682,27659,174,25000000,7,43000,6.7,994,27546,2
389,653428261,166137,81385,383,160000000,6.6,38000,6.6,4117,70508,3
214,65663276,93767,15327,209,25000000,7.2,34000,7.4,2052,14043,3
305,91709827,147128,16881,277,30000000,7.5,44000,7.3,2112,17269,3
202,146936910,58752,16922,117,90000000,6,21000,5.7,1345,15442,2
421,35401758,161288,2499,351,6000000,8.3,72000,8.1,2838,2389,3
391,98837872,115216,63769,289,53000000,7,44000,6.3,1262,62108,2
204,104384188,66123,40312,219,31000000,6.1,28000,6.1,1218,38816,2
172,3324330,40568,27666,185,50000000,6.4,18000,6.1,565,27527,1
536,857611174,345198,2944,773,175000000,8.3,118000,7.9,6737,2151,4
644,1513528810,418214,8458,1290,150000000,7,150000,6.5,8842,6365,3
343,543514353,103749,4671,323,95000000,7,56000,6.7,2426,3022,3
44,100000000,62756,554,410,40000000,8.4,21000,7.5,138,473,3
261,17752940,38983,28129,207,70000000,5.4,11000,5.1,842,26627,1
361,203427584,134625,2131,265,55000000,7.1,40000,6.7,1805,1939,3
178,30523226,57674,17847,126,26000000,6.5,11000,6.3,1122,17829,2
208,246233113,27918,309,155,99000000,7.2,33000,6.5,608,242,3
152,473226958,56501,26839,97,80000000,6.7,16000,6.7,1528,24125,3
412,34441873,93548,28933,307,30000000,7.2,23000,6.8,1608,27816,2
424,1506249360,278232,79150,657,190000000,7.2,94000,7.3,4253,63000,3
425,40423945,66483,1122,452,3500000,6.8,43000,6.3,1471,1020,2
242,104303851,54190,2426,183,10000000,6.1,29000,6.3,1005,2358,2
489,36869414,289508,430,611,15000000,7.7,109000,7.6,4862,649,2
459,165478348,178118,16944,355,40000000,7.6,55000,7.2,2633,29958,3
369,167977596,110486,1261,695,120000000,4.3,41000,4.4,2322,1162,2
203,54418872,48675,259,214,5000000,6.8,16000,6.7,798,312,3
147,311594032,34359,5217,133,74000000,6,16000,5.7,733,2462,3
362,108145109,175960,15735,360,75000000,7.3,43000,7.1,2306,15613,2
236,71561644,76010,16992,205,50000000,6.6,15000,6.3,1169,15817,2
45,6485961,15978,5705,122,20000000,7.4,15000,7,190,3013,1
263,295238201,154621,22622,258,110000000,6.3,27000,6.2,3921,20124,3
478,84025816,196217,1467,461,30000000,7.6,59000,7.2,2465,1672,3
198,61548707,29867,4567,181,15000000,6.2,27000,5.9,601,4286,2
280,217022588,117739,30010,229,68000000,6.4,30000,6.2,2524,31000,2
119,97571250,28276,30230,64,64000000,7.8,31000,7.6,771,29054,2
332,140795793,94241,1450,309,35000000,6.3,25000,5.9,1193,1097,2
602,880674609,275868,11700,994,245000000,6.8,85000,6.3,4552,11554,3
189,52882018,25210,2403,126,10000000,5.2,13000,5.5,605,1643,2
635,1405403694,462669,92000,1117,280000000,7.5,118000,7.3,6908,66000,3
149,52425855,27198,4807,131,4000000,4.6,8000,4.1,1034,4148,2
218,158162788,47988,5497,154,58000000,6.4,35000,6.2,1022,3554,2
76,107597242,23473,3552,123,38000000,4.4,8000,5,576,1631,2
371,104399548,172965,23051,627,49000000,6.9,67000,6.6,3124,23164,3
256,128388320,39975,21404,186,150000000,5.8,24000,5.9,979,21409,1
474,440603537,188457,38873,867,155000000,6.6,82000,5.8,3677,36230,3
358,470490832,147497,16718,499,110000000,6.1,52000,6,3017,14946,3
221,287506194,97697,13159,185,29000000,6.5,40000,6.8,1997,11751,3
474,88346473,195333,1058,409,20000000,8.1,80000,7.8,2751,1300,3
465,682330139,232187,21840,440,150000000,7.4,47000,7.1,3274,20829,3
384,183987723,139593,47334,720,176000003,5.4,44000,5.2,2816,45000,1
241,194564672,130661,36010,304,35000000,7.2,54000,7.1,1926,34086,3
256,187112,30219,1885,200,4000000,5.6,22000,5.2,604,1451,1
298,331926147,62836,696,345,175000000,6.8,20000,6.6,1782,651,3
426,133346506,182983,57308,374,28000000,7.8,99000,7.3,2679,57052,3
371,98450062,65299,1010,455,5000000,6.2,27000,6,1405,840,2
568,630161890,472488,14831,1023,108000000,8.1,153000,7.6,7442,14173,3
579,783112979,479047,18239,1058,58000000,8.1,117000,7.4,11444,17250,3
196,334901337,40862,23031,139,90000000,6.9,15000,6.7,3362,23095,3
300,320170008,64989,2676,279,40000000,7.8,40000,7,2018,1911,3
267,415484914,40123,13752,297,120000000,7.1,31000,5.9,2386,14151,3
178,52099090,27481,3524,113,80000000,6.8,12000,6.3,597,1925,1
141,349779543,27130,24350,126,73000000,6.3,14000,5.9,1048,23421,3
418,745600054,118992,11287,971,175000000,6.9,80000,5.9,7717,11117,3
226,55969000,34964,24107,150,50000000,4.8,28000,4.7,814,23000,1
210,521170825,64322,36095,145,145000000,7.2,24000,6.7,1630,35972,3
225,205754447,69484,20276,323,60000000,5.9,28000,5.8,1656,19880,2
181,245623848,17533,8306,115,135000000,6.3,12000,5.8,984,6645,2
177,216972543,33354,14569,110,50000000,6.6,10000,6.2,1699,13531,3
165,875457937,24407,4782,155,75000000,6.8,36000,5.9,3536,2660,3
248,356743061,42372,21175,239,180000000,6.6,29000,5.5,2488,21385,3
252,183345589,12572,1950,106,140000000,6.8,27000,6,1026,15293,2
275,433677183,111609,5505,781,160000000,7.3,89000,6.3,2325,4364,3
516,1153304495,272670,64798,1022,250000000,8.2,72000,7.1,7462,51094,3
464,229147509,69790,2097,1211,144000000,5.5,62000,5.3,2203,1651,2
370,966550600,106221,32921,398,175000000,7.8,65000,6.7,2977,36591,3
181,179246868,44296,12452,144,110000000,5.8,12000,5.9,2064,12067,2
204,69411370,47764,3580,219,50000000,7.4,44000,7,963,2176,2
159,64188367,35654,4687,155,10000000,6,20000,5.8,1133,4483,2
78,143695338,408,3691,6,65000000,7.3,21000,6.2,697,3652,2
286,389681935,58137,3233,520,165000000,5.5,67000,4.9,2550,3013,2
194,109906372,55617,19974,266,38000000,5.2,14000,5.6,1993,18729,2
423,63647656,60926,38494,302,22000000,6.4,23000,5.7,1338,38000,2
231,164602163,37750,46719,134,115000000,6.1,16000,6,1575,46019,2
158,94073028,49671,24063,166,11500000,6,11000,5.7,1429,23273,2
79,25035950,3077,12786,47,50000000,6.7,10000,6.6,439,12233,1
151,207945075,44723,21852,130,20000000,7.6,51000,7.6,2674,21435,3
65,140705322,3302,15795,14,19000000,7.5,13000,5.6,2310,15370,2
411,108286421,126893,14504,440,15000000,7.3,33000,6.8,2537,14436,3
396,543934787,148379,49684,622,178000000,7.3,54000,6.4,4831,48000,3
673,873260194,371639,24450,3018,250000000,6.9,197000,5.7,7189,21000,3
322,343471816,53607,1327,432,185000000,7.5,30000,6.6,2636,1903,3
218,299370084,21352,80806,131,170000000,6.4,30000,6.5,1782,76033,3
184,150680864,51892,19769,273,140000000,5.5,24000,5.2,1303,19513,1
250,183316455,488537,4228,1076,18500000,8.4,18000,7.7,3282,3230,3
173,356830601,219171,13069,388,15000000,6.9,19000,6.7,1736,23555,3
94,320145693,55101,1639,201,14000000,6.9,3000,6.6,305,1624,3
68,354704,2705,11083,38,1300000,5.9,314,6.7,27,11040,1
217,98235548,290949,4223,629,18000000,7.8,13000,7.3,2129,3117,3
185,30857814,294163,20060,718,16000000,8.1,33000,7.6,1518,19230,2
84,189015611,92106,14574,171,63000000,5.7,2000,5.7,703,14359,2
24,84460846,61753,1833,133,12300000,7.3,5000,7,660,1806,3
109,73326666,189413,1953,306,15000000,7.5,15000,7.1,1475,14834,3
233,140767956,592582,40585,722,28000000,8.2,25000,7.5,4005,38864,3
100,412800000,383784,12285,331,25000000,8,12000,7.6,1762,11798,3
172,13008928,73501,837,333,4000000,7.3,27000,7.1,562,639,2
35,20256975,7569,5282,65,7000000,5.2,978,4.9,51,2657,1
125,332000000,340085,3660,327,40000000,7.8,12000,7.4,3926,2559,3
96,235860116,277451,51609,491,16400000,8,23000,8.1,2786,51608,4
72,161001698,76842,12098,173,14000000,7.2,4000,6.7,403,11414,3
186,411348924,269033,2725,817,35000000,7.6,12000,7,2145,14957,3
61,145793296,72324,12619,134,7500000,7.4,3000,7,358,11912,3
132,48572000,90070,3119,248,11000000,7.1,11000,6.6,882,1828,2
111,53000000,357581,42330,588,20000000,7.9,16000,7.5,3731,54625,2
82,463000000,213476,11135,271,14000000,6.9,11000,7,1807,9695,3
192,46836394,728685,24783,989,25000000,8.7,25000,8.2,3211,40489,3
210,520000000,744891,2829,983,100000000,8.5,13000,7.7,4274,1923,3
75,300854823,182802,64259,363,70000000,6.7,13000,6.7,1563,76000,3
55,191502426,96607,3696,125,30000000,6.8,5000,6.7,871,2624,3
91,34872033,30765,42002,252,11000000,4.9,963,5.1,280,41253,1
84,41895491,63274,12947,170,24000000,7.6,12000,7.2,346,12604,2
49,149022650,78974,25599,173,55000000,6.4,8000,6.3,655,24812,2
173,14661007,664719,28994,931,1200000,8.4,19000,8.1,3821,44455,3
131,159157447,277505,28544,495,14000000,8.3,10000,7.7,1133,43638,3
181,215862692,143835,42220,654,40000000,7.5,14000,7.1,1087,40000,3
122,12281551,163492,23602,460,12500000,8,15000,7.5,762,33975,1
36,39514713,60494,1275,132,28000000,6.7,16000,6.5,491,1228,2
174,321365567,865020,15233,1273,22000000,8.9,41000,8.3,4436,29007,4
147,70906973,437418,15500,609,14600000,8.1,38000,7.4,2358,25083,3
46,54207,10182,1362,130,2000000,5.9,810,5.9,88,1243,1
30,3275585,10735,13160,88,11500000,6.6,561,5.7,36,11296,1
80,10032765,171882,69746,292,11000000,7.8,14000,7.5,943,70001,1
84,56505065,95241,4453,439,25000000,7.8,11000,7.4,632,3364,2
186,788241776,644348,6458,656,45000000,8.5,17000,8,5520,3761,4
43,51132598,76850,4767,85,30000000,6.4,1000,6.4,535,3895,2
149,677945399,1251222,15700,1398,55000000,8.8,59000,8.2,8147,15488,4
120,223664608,239752,25697,406,60000000,7.6,11000,7.2,1558,25277,3
118,94000000,136580,2630,545,15000000,7.6,15000,7.3,980,1976,3
199,28341469,1689764,13495,4144,25000000,9.3,108000,8.5,8358,12206,3
39,117615211,45798,4043,94,45000000,6.7,1000,6.4,287,2490,2
57,160638883,112175,26388,329,30000000,7.5,11000,7.2,636,24298,3
36,119208989,60293,1093,114,50000000,5.5,669,5.5,445,1544,3
215,213928762,1324680,16557,2195,8000000,8.9,45000,8.3,8670,30759,3
159,355237933,208817,17171,296,52000000,7.6,5000,7.3,1637,18520,2
79,254134910,94435,1185,182,30000000,6.8,5000,6,756,1085,1
59,21284514,34774,3598,162,20000000,6.8,1000,6.7,177,3260,3
